index,datum_tenaamstelling,Alcohol,Benzine,CNG,Diesel,Elektriciteit,LNG,LPG,Waterstof,cum_Elektriciteit,cum_Benzine,cum_Diesel,cum_LPG,cum_CNG,cum_LNG,cum_Waterstof,cum_Alcohol
0,1952-10-18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1953-01-22,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2,1953-07-04,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
3,1954-01-01,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
4,1954-04-21,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
5,1954-07-31,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0
6,1955-06-02,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0
7,1955-08-18,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0
8,1955-09-07,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0
9,1956-05-09,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0
10,1956-06-30,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0
11,1956-09-11,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0
12,1956-12-10,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0
13,1957-08-31,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0
14,1957-09-30,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0
15,1958-03-31,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0
16,1958-06-27,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0
17,1959-02-12,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0
18,1959-05-11,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0
19,1959-07-22,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0
20,1959-08-21,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0
21,1959-12-16,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0
22,1959-12-23,0,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0
23,1960-05-14,0,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0
24,1960-05-25,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0
25,1960-06-30,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0
26,1960-08-24,0,1,0,0,0,0,0,0,0,27,0,0,0,0,0,0
27,1960-09-01,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0
28,1960-10-03,0,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0
29,1960-10-05,0,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0
30,1960-11-24,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0
31,1961-03-20,0,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0
32,1961-03-28,0,1,0,0,0,0,0,0,0,33,0,0,0,0,0,0
33,1961-04-14,0,1,0,0,0,0,0,0,0,34,0,0,0,0,0,0
34,1961-05-24,0,1,0,0,0,0,0,0,0,35,0,0,0,0,0,0
35,1961-05-25,0,1,0,0,0,0,0,0,0,36,0,0,0,0,0,0
36,1961-06-02,0,1,0,0,0,0,0,0,0,37,0,0,0,0,0,0
37,1961-06-16,0,1,0,0,0,0,0,0,0,38,0,0,0,0,0,0
